URL,Domain,Anchor
https://github.com/bgoonz/random-list-of-embedable-content,github.com,
https://search.freefind.com/siteindex.html?si=79970144,search.freefind.com,index
https://search.freefind.com/find.html?si=79970144&m=0&p=0,search.freefind.com,sitemap
https://search.freefind.com/find.html?si=79970144&pid=a,search.freefind.com,advanced
https://random-list-of-embedable-content.vercel.app/,random-list-of-embedable-content.vercel.app,Page 1
https://random-list-of-embedable-content.vercel.app/page2.html,random-list-of-embedable-content.vercel.app,Page 2
https://random-list-of-embedable-content.vercel.app/page3.html,random-list-of-embedable-content.vercel.app,Page 3
https://random-list-of-embedable-content.vercel.app/page4.html,random-list-of-embedable-content.vercel.app,Page 4
https://twitter.com/bgooonz?ref_src=twsrc%5Etfw,twitter.com,Tweets by bgooonz
https://twitter.com/messages/compose?recipient_id=3805104374,twitter.com,Message @bgooonz
https://codepen.io/chriscoyier/pen/DmnlJ,codepen.io,Simple Responsive Form
https://codepen.io/chriscoyier,codepen.io,@bgoonz
https://codepen.io,codepen.io,CodePen
https://random-list-of-embedable-content.vercel.app/,random-list-of-embedable-content.vercel.app,Page 1
https://random-list-of-embedable-content.vercel.app/page2.html,random-list-of-embedable-content.vercel.app,Page 2
https://random-list-of-embedable-content.vercel.app/page3.html,random-list-of-embedable-content.vercel.app,Page 3
https://random-list-of-embedable-content.vercel.app/page4.html,random-list-of-embedable-content.vercel.app,Page 4
